Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
70,13654170,jht3海阔天空,"2025-04-11 07:33:12",640.8,2,jht3qwq
71,13184156,"Musab Shakil","2025-04-26 18:03:19",635.7,1,musabshakil
72,13498563,"K Srirama Srikar","2025-04-10 09:14:52",629.7,1,ksriramasrikar
73,13176982,"Szymek Bukowski","2025-05-23 21:54:05",627.1,2,szymekbukowski
74,13740166,"Jebez Oswald","2025-05-09 13:37:03",623.7,3,jebezoswald
75,13830857,"Seele AI","2025-05-18 09:30:35",620.4,2,seeleai
76,13821136,tclks001,"2025-05-16 07:28:19",611.6,3,tclks001
77,13843004,tamgujoa,"2025-05-19 14:56:15",605.6,2,tamgujoa
78,6086254,"DUSHYANT JAIN","2025-04-17 10:55:27",603.9,3,dushyantjain
79,13786695,"vihas adi","2025-05-07 22:17:51",564.0,2,vihasadi
80,13735493,Zahra,"2025-05-31 15:54:23",561.6,4,zahraajeddi
81,13833752,"Jaymart Araga","2025-05-18 03:19:10",559.2,2,jaymartaraga
82,13773891,ASHUR786,"2025-05-05 23:21:53",554.6,1,ashur786
83,13785487,"AKSHITHA BAIRA","2025-05-07 17:20:49",549.0,2,akshithabaira
84,13749520,"ben parrett","2025-05-01 08:13:24",549.0,2,benparrett12
85,13297063,Lategardener,"2025-05-12 07:57:05",546.7,4,lategardener
86,13743000,"Prakash k","2025-04-30 11:41:38",544.3,3,prakash888kp
87,13722569,"Jennifer Hunt","2025-04-24 15:42:12",535.5,1,jenniferhunt9
88,13845526,xqbptt,"2025-05-20 15:28:32",525.9,1,xqbptt
89,13890855,"Junhan Zhang #2","2025-05-29 07:22:49",514.4,2,junhanzhang11
90,13679101,"480 Team","2025-06-06 00:09:42",513.9,4,"jennach,miongffgf,sumedhakun,tigerplayspc,westonpatrick"
91,13711277,"Ramiro Ardito Batista","2025-04-22 13:37:33",509.5,1,ramiroarditobatista
92,13694291,"ASHUR RAJU ADDANKI","2025-05-05 22:18:06",509.2,2,ashurrajuaddanki
93,13468115,"Jorge Marcher","2025-06-04 21:10:07",500.2,1,jorgemarcher
94,13192271,"Audrius Molis","2025-06-08 06:53:24",484.8,9,vienas
95,13885598,ecmoser,"2025-05-28 19:56:48",483.7,2,emoser
96,13637052,"Limin Qi","2025-04-11 02:11:33",482.7,1,liminqi
97,13672706,"Gabriele Ni","2025-04-14 20:36:30",478.5,1,gabrieleni
98,13933482,"Yogesh Bawankar","2025-06-06 08:58:27",474.7,2,yogeshbawankar
99,13829309,"Eng. Marcelo Caetano","2025-06-08 13:37:55",470.4,2,engmarcelocaetano
100,13894825,"Aatif Fraz","2025-05-29 22:48:08",469.3,1,aatiffraz
101,13709485,"Fanny Fushayi","2025-04-22 18:41:27",464.9,1,fannyfushayi
102,13640585,Siyu_Zhao123,"2025-04-11 12:43:33",463.9,1,siyuzhao123
103,13750180,"Paul Gummadi","2025-04-30 14:50:12",463.2,1,paulgummadi
104,13787845,perky7,"2025-05-08 08:32:20",456.3,1,perky7
105,13677302,"Iago Hernando","2025-04-15 16:37:29",453.8,1,iagohernando
106,13764267,"Gopavarapu Abhinav","2025-05-05 22:11:50",445.7,4,gopavarapuabhinav
107,13670955,martial,"2025-06-07 20:31:36",445.5,2,martial
108,13822294,"Greg Howlett","2025-05-16 07:33:12",444.2,1,greghowlett
109,13653433,kkyky,"2025-04-10 23:47:29",435.7,1,ykawakita
110,13734536,Kagiso,"2025-04-27 15:51:06",426.8,1,kagiso
111,13857195,"Bảo Ân Nguyễn Minh","2025-05-22 06:34:56",425.9,1,bonnguynminh
112,13813184,"Việt Ngô Quang","2025-05-14 04:23:57",423.2,1,vietnqw
113,13845491,"Tsun Hin Navin Tsung","2025-05-19 21:49:03",422.7,2,tsunhinnavintsung
114,13898930,"Juan Angel Arroyo Rea","2025-05-30 18:42:55",415.3,1,juanangelarroyorea
115,13806570,"Jean-Christophe Lavocat","2025-05-12 13:45:16",414.8,1,jicelavocat
116,13839659,"Kelvin Bianchi","2025-05-19 16:02:13",410.6,1,bianchik
117,13748791,"Fanxin Sun","2025-04-30 16:47:31",409.7,1,jocelynxly
118,13639455,"Yernazar Turlybek","2025-04-09 11:37:14",394.0,1,yernazarturlybek
119,13850885,"Luka #2","2025-05-24 11:51:25",386.3,1,lukapeco
120,11002458,"Andrés Briseño","2025-05-30 04:45:05",379.8,1,andrsbriseo
121,13859999,Eulel,"2025-06-01 05:07:07",358.0,3,elishbj
122,13657479,"Grzegorz (Gregory) Kłosiński","2025-04-13 10:21:34",346.5,1,ballfollower
123,13840793,azennto,"2025-05-19 02:29:33",336.1,1,azennto
124,13722836,"Alex Seth","2025-04-24 16:07:41",321.3,1,alexseth
125,13673246,"Keerthi Sana","2025-05-07 03:49:37",318.7,9,keerthisana2001
126,13773889,Mazhar_Mohammed_md,"2025-05-05 23:53:38",316.5,1,mazharmohammedmd
127,13757296,"Vihas Adi","2025-05-07 01:45:40",310.9,2,vihasadii
128,13813500,Shreya_23375,"2025-05-13 16:30:57",279.9,1,shreya23375
129,13605293,JinRyan,"2025-04-12 13:39:06",265.4,1,jinryan
130,13915634,"Ethan - Van Sa","2025-06-07 09:27:07",262.4,3,nguyenvansa
131,13881305,WangBowen,"2025-06-08 13:14:39",258.9,2,wbw23223
132,13816395,"Anton Kostin","2025-05-22 08:39:51",253.7,3,visualcomments
133,11608459,IzziWizziWob,"2025-04-09 15:51:59",252.4,1,frzzzzllll
134,13687970,"Nethmi Sasindi Peiris","2025-04-17 16:58:20",247.9,1,nethmisasindipeiris
135,13847271,Khan-Abid786,"2025-05-20 05:35:36",237.5,1,khanabid786
136,13860251,"Rara Syifa Qaisa","2025-05-23 13:23:33",212.9,1,rarasyifaqaisa
137,13738872,"Katarina Jovanović","2025-04-28 11:18:51",209.5,1,katarinajovanovi
138,13768477,"Lee Jia Fong","2025-05-04 19:50:01",200.9,2,jiafong
139,12912260,"Razvan Despa","2025-05-28 16:02:57",200.7,1,razvandespa
140,13723254,"Dulce Aidé Ramírez Vázquez","2025-04-24 19:04:24",199.5,2,dulceramirezvzquez
141,13882145,"Siri H G","2025-05-27 09:57:17",198.1,1,siri12hg
142,13644369,"Rounak Agrahari ","2025-04-09 21:54:52",195.7,1,rounakagrahari
143,13851756,"Bill Henderson","2025-05-21 23:23:07",187.6,1,billhenderson
144,13700954,sangpham2612,"2025-04-22 07:07:20",186.4,2,sangpham2612
145,13717020,"Aravind Vojjala","2025-05-08 12:40:56",184.2,3,aravindvojjala
146,13591637,"Hala Radwan ","2025-04-14 18:34:18",180.2,1,halaradwan
147,13757968,"Fanon Kaberia","2025-05-02 08:40:25",178.9,2,fanong
148,13731849,"Abhishek Chandel","2025-04-27 21:53:24",172.4,1,imabhishekchandel
149,13853627,"Caesar Chen","2025-05-27 08:14:58",172.2,2,caesarchen
150,13709609,"MD. AL-HADI AKON","2025-04-22 06:30:55",171.8,1,mdalhadiakon
151,13616631,"Johnson Liu","2025-05-13 15:48:37",171.4,1,johnsonliukaggle
152,13890045,"Syed Irteza Hussain Rizvi","2025-05-28 21:48:31",171.4,1,syed56
153,12086572,"Mir Muhammad Abidul Haq Ahnaf","2025-05-16 11:56:03",169.4,2,ahnaf1
154,13660995,"Suprathika Thakkola","2025-04-12 12:04:29",168.2,2,suprathikathakkola
155,13935660,"Caroline Rapp","2025-06-06 16:10:25",167.8,1,carolinerapp
156,13817040,"Meenakshi Suresh","2025-05-14 11:03:10",165.8,1,meenakshisuresh123
157,13755407,Adhhhithya,"2025-05-26 15:11:38",163.1,1,adhhhithya
158,13729248,"JAN CARLO DELA CERNA","2025-05-03 01:03:00",158.9,6,jancarlodelacerna
159,13687102,ANAND_22BAI10183,"2025-04-17 13:20:27",157.4,1,anand22bai10183
160,13651959,"MAULIC GOLA","2025-04-13 13:48:37",152.5,1,maulicgola22bai10248
161,13318078,dogthinker,"2025-04-29 04:20:24",145.4,4,dogthinker
162,13776471,"Jacob Carnap","2025-05-06 10:10:45",138.0,1,jacobcarnap
163,13778992,Xei123,"2025-05-14 19:36:25",136.4,3,xei123
164,11449841,ayan_roy_91,"2025-04-30 14:50:31",125.3,2,ayanroy91
165,13689532,"Jacopo Ferretti","2025-04-18 09:12:02",125.2,2,jacopoferretti
166,13199589,"Ömer Tanır","2025-04-11 14:46:38",125.1,1,tnr1337
167,13873752,"Syed Ebad Hussain","2025-05-25 16:27:36",121.8,2,ebadhussain20
168,13632899,Enishi_Yakumo,"2025-04-11 01:59:26",107.1,1,enishiyakumo
169,13682326,Abishek,"2025-04-16 15:11:36",103.3,2,abishek2306r
170,13695215,eidensuke,"2025-04-26 15:55:15",94.9,1,eidensuke
171,13759315,"Mumtaz Ahmad Maitla","2025-05-02 13:31:02",91.8,1,mumtazahmadmaitla
172,13714209,WJoker,"2025-04-23 06:32:10",79.2,1,wjoker
173,13791352,"Pota Smalling","2025-05-09 00:01:10",60.8,1,potasmalling
174,13682809,"yaqui ramos","2025-04-16 18:39:52",46.7,1,yaquiramos
175,13882894,Bayu_Nugraha331,"2025-05-27 12:15:26",27.4,1,bayunugraha331
176,13793738,"Youssef Kallala","2025-05-11 14:20:41",22.3,1,youssefkallala
